respondent_id,seasonal_vaccine,xyz_vaccine
26707,0.2145897029967821,0.16199307283076284
26708,0.03534422885435417,0.05461879120880784
26709,0.7565823809458808,0.2998871741476912
26710,0.8925780100997381,0.8179904853835458
26711,0.3659412190152629,0.39613066287695653
26712,0.9869761328503123,0.9280995232435141
26713,0.7235411871394904,0.4549918426635432
26714,0.11926757436303266,0.2304656301778864
26715,0.11575715702919112,0.042695599412967335
26716,0.9327329056292047,0.35657373402668235
26717,0.4088175807484509,0.020048436043006053
26718,0.6332053812000635,0.5668904924980049
26719,0.9466472273041937,0.08540439031470316
26720,0.30439197164637916,0.056199410723119556
26721,0.36966206390090983,0.5533388221726363
26722,0.0900899309933132,0.12834171725828994
26723,0.9313791556081844,0.886756987972613
26724,0.7955370555075437,0.04024542759545976
26725,0.02675977591826828,0.00763433812333652
26726,0.028638720105896878,0.045092997117182024
26727,0.9446594990317851,0.7157194548191744
26728,0.6073917448620993,0.42921099903667026
26729,0.8728850517692498,0.36945390992523286
26730,0.15603866946419281,0.07818209328045343
26731,0.261157852322391,0.0538861063863104
26732,0.12417283882755642,0.22569497281897338
26733,0.9723374133000956,0.984415169519714
26734,0.44330276807577873,0.9162634107220813
26735,0.32971775959279404,0.09970804771120557
26736,0.1630596826143166,0.09310714829504496
26737,0.10027351698022197,0.07886450088360726
26738,0.9150328978761763,0.8869857861427343
26739,0.24944872212576968,0.22576163383551387
26740,0.0840066625205105,0.1830766821329612
26741,0.924875741036958,0.07995114716835798
26742,0.3218087001253896,0.17929368973126808
26743,0.585029448917038,0.05605240928454363
26744,0.7405526079507868,0.0659765949100411
26745,0.8495205016504058,0.019185808353205467
26746,0.38306762521836385,0.21049061692681098
26747,0.152636501090207,0.09006566350257963
26748,0.04759270252738215,0.05764912144687506
26749,0.8041418677590723,0.1504248706926361
26750,0.8510437987855742,0.5878582174184744
26751,0.8012272237726208,0.6463264982840495
26752,0.11891592920595534,0.09493395838047924
26753,0.6649706226536177,0.3859457637378073
26754,0.7418212161496289,0.18420377539852276
26755,0.416388458026752,0.2482038212551654
26756,0.023089398566650033,0.025684023293769877
26757,0.526136133933236,0.30797374364784547
26758,0.8398454204315963,0.6645724981792788
26759,0.19389137985133456,0.028553628519217097
26760,0.07984265323983482,0.059710446710022964
26761,0.7151693960793206,0.5800582730277217
26762,0.8718246318786675,0.3627824768607202
26763,0.9612129374777413,0.9489048498527396
26764,0.9900114700061201,0.989628671128296
26765,0.6910662564733849,0.027660711882513758
26766,0.15053118351307673,0.197865695257996
26767,0.7673700168329237,0.9435330922549572
26768,0.37161905050417005,0.01672619833311903
26769,0.13135243795882487,0.09804542021472941
26770,0.5168068479500947,0.039638482899917594
26771,0.10218649150346489,0.03641685513885528
26772,0.5754238196069823,0.1152448622758967
26773,0.3680093138152176,0.022489614357787978
26774,0.44618446920256943,0.020958296639843107
26775,0.3710499937660301,0.04023408513178582
26776,0.25411469353862853,0.4551099057254896
26777,0.9468743525074612,0.16673861016212424
26778,0.04134289950554519,0.10535619661358285
26779,0.6735437091492467,0.31462547951787934
26780,0.9467671778854525,0.048776919841314034
26781,0.3332551648689482,0.08728052942586577
26782,0.3284294876245984,0.10650850573920181
26783,0.27122370287097997,0.0439773308386075
26784,0.8328499192952421,0.1480230179885441
26785,0.7543534549955967,0.6733199741708058
26786,0.2214009329600403,0.07100694008843879
26787,0.5912879715716409,0.07749413853027912
26788,0.8543819935732463,0.029016046578099607
26789,0.2361232137980811,0.01975736088641254
26790,0.18396024314872855,0.02936269729546977
26791,0.08642818786057382,0.09362440612021641
26792,0.7565359982305563,0.09285748479517
26793,0.9603842416648098,0.1627648061700034
